Temperature,Year,Month
-24.554,1979,1
-27.997,1979,2
-27.115,1979,3
-21.958,1979,4
-13.755,1979,5
-7.8861,1979,6
-3.1969,1979,7
-6.1059,1979,8
-13.389,1979,9
-19.926,1979,10
-25.772,1979,11
-27.353,1979,12
-22.569,1980,1
-24.699,1980,2
-25.476,1980,3
-22.811,1980,4
-12.895,1980,5
-6.9455,1980,6
-3.451,1980,7
-4.8969,1980,8
-13.271,1980,9
-17.901,1980,10
-26.55,1980,11
-27.872,1980,12
-25.301,1981,1
-27.476,1981,2
-28.996,1981,3
-21.593,1981,4
-13.275,1981,5
-5.6501,1981,6
-3.4331,1981,7
-5.3653,1981,8
-12.203,1981,9
-18.126,1981,10
-23.547,1981,11
-24.205,1981,12
-24.584,1982,1
-28.989,1982,2
-27.582,1982,3
-23.465,1982,4
-14.391,1982,5
-6.462,1982,6
-3.3848,1982,7
-6.2482,1982,8
-15.093,1982,9
-19.681,1982,10
-25.022,1982,11
-28.514,1982,12
-27.59,1983,1
-29.199,1983,2
-30.988,1983,3
-24.369,1983,4
-14.076,1983,5
-6.9119,1983,6
-4.3023,1983,7
-7.1923,1983,8
-13.366,1983,9
-21.721,1983,10
-26.109,1983,11
-27.319,1983,12
-28.021,1984,1
-31.467,1984,2
-30.875,1984,3
-24.247,1984,4
-14.369,1984,5
-7.0631,1984,6
-2.6343,1984,7
-6.6313,1984,8
-13.333,1984,9
-19.982,1984,10
-24.0,1984,11
-25.184,1984,12
-22.123,1985,1
-27.089,1985,2
-28.392,1985,3
-23.457,1985,4
-13.286,1985,5
-5.6931,1985,6
-3.1504,1985,7
-6.3487,1985,8
-12.418,1985,9
-20.673,1985,10
-24.883,1985,11
-25.03,1985,12
-26.029,1986,1
-21.303,1986,2
-30.075,1986,3
-22.677,1986,4
-13.154,1986,5
-7.0743,1986,6
-3.8492,1986,7
-5.2121,1986,8
-12.94,1986,9
-21.412,1986,10
-26.955,1986,11
-25.994,1986,12
-22.93,1987,1
-29.824,1987,2
-29.867,1987,3
-23.693,1987,4
-14.444,1987,5
-5.9331,1987,6
-3.603,1987,7
-4.8746,1987,8
-12.642,1987,9
-20.171,1987,10
-25.762,1987,11
-27.64,1987,12
-27.104,1988,1
-24.813,1988,2
