Year,mean_extent
1978,14.66355
1979,11.653818799603174
1980,11.20594538690476
1981,11.387509375
1982,11.59415625
1983,11.343461656746031
1984,11.428565972222222
1985,11.569727033730159
1986,11.043747321428569
1987,11.663671010944698
1988,11.403143389015733
1989,11.379158659754227
1990,11.363856458013315
1991,11.498326849718381
1992,11.374231340378197
1993,11.371259594214031
1994,11.726791327444957
1995,11.748205709165385
1996,11.744542936596217
1997,11.340793477982592
1998,11.690445378904252
1999,11.711689784946238
2000,11.72303360524039
2001,11.628243740399384
2002,11.174099404761906
2003,11.924078443420377
2004,11.93854552898282
2005,11.647807136456732
2006,11.413619028417818
2007,11.637005792370713
2008,12.215347225312073
2009,11.99790855094726
2010,12.056383422939065
2011,11.449442780337941
2012,11.980925132863677
2013,12.474902112135176
2014,12.725776433691756
2015,12.36562092933948
2016,11.13195287356322
2017,5.712878097798259
